"index","assists","gamesPlayed","goals","playerBirthCity","playerBirthCountry","playerBirthDate","playerBirthStateProvince","playerDraftOverallPickNo","playerDraftRoundNo","playerDraftYear","playerFirstName","playerHeight","playerId","playerLastName","playerName","playerNationality","playerPositionCode","playerShootsCatches","playerTeamsPlayedFor","playerWeight","points","seasonId","cron_ts"
"0","0","58","0","White","USA","1978-01-22","NY","139","6","1996","Robert","73","8465093","Esche","Robert Esche","USA","G","L","PHI","210","0","20032004","2017-04-01 11:00:07"
"1","0","33","0","Imatra","FIN","1975-05-08",NULL,"133","5","2001","Jussi","72","8462255","Markkanen","Jussi Markkanen","FIN","G","L","NYR, EDM","182","0","20032004","2017-04-01 11:00:07"
"2","0","4","0","Atlanta","USA","1978-03-04","GA","30","2","1997","Jean-Marc","75","8466165","Pelletier","Jean-Marc Pelletier","USA","G","L","PHX","209","0","20032004","2017-04-01 11:00:07"
"3","0","7","0","Drummondville","CAN","1977-04-18","QC","93","4","1995","Sebastien","69","8462120","Charpentier","Sebastien Charpentier","CAN","G","L","WSH","190","0","20032004","2017-04-01 11:00:07"
"4",NULL,"1",NULL,"Surahammar","SWE","1971-02-01",NULL,"118","5","1993","Tommy","72","8459541","Salo","Tommy Salo","SWE","G","L","SWE","180",NULL,"20032004","2017-04-01 11:00:07"
"5","2","34","0","Petrolia","CAN","1981-05-19","ON","165","6","1999","Michael","75","8468038","Leighton","Michael Leighton","CAN","G","L","CHI","186","2","20032004","2017-04-01 11:00:07"
"6","0","18","0","Farmington","USA","1977-03-12","MI","129","5","1995","Brent","75","8462161","Johnson","Brent Johnson","USA","G","L","STL, PHX","199","0","20032004","2017-04-01 11:00:07"
"7","2","55","0","Montreal","CAN","1977-05-16","QC","13","1","1995","Jean-Sebastien","73","8462044","Giguere","Jean-Sebastien Giguere","CAN","G","L","ANA","202","2","20032004","2017-04-01 11:00:07"
"8","0","21","0","Sorel","CAN","1984-11-28","QC","1","1","2003","Marc-Andre","74","8470594","Fleury","Marc-Andre Fleury","CAN","G","L","PIT","180","0","20032004","2017-04-01 11:00:07"
"9","2","64","0","Turku","FIN","1976-10-26",NULL,"116","5","1995","Miikka","73","8462147","Kiprusoff","Miikka Kiprusoff","FIN","G","L","CGY","185","2","20032004","2017-04-01 11:00:07"
"10","0","21","0","Ottawa","CAN","1972-11-24","ON",NULL,NULL,NULL,"Fred","67","8459252","Brathwaite","Fred Brathwaite","CAN","G","L","CBJ","185","0","20032004","2017-04-01 11:00:07"
"11","1","48","0","Simcoe","CAN","1969-10-12","ON",NULL,NULL,NULL,"Dwayne","73","8460806","Roloson","Dwayne Roloson","CAN","G","L","MIN","170","1","20032004","2017-04-01 11:00:07"
"12","2","64","0","Lahti","FIN","1975-12-17",NULL,"189","6","2001","Pasi","70","8469636","Nurminen","Pasi Nurminen","FIN","G","L","ATL","215","2","20032004","2017-04-01 11:00:07"
"13","0","4","0","Des Moines","USA","1977-07-23","IA","215","8","1997","Scott","74","8466339","Clemmensen","Scott Clemmensen","USA","G","L","NJD","200","0","20032004","2017-04-01 11:00:07"
"14",NULL,"2",NULL,"Kosice","SVK","1980-01-10",NULL,"193","7","1998","Rastislav","74","8467497","Stana","Rastislav Stana","SVK","G","L","SVK","184",NULL,"20032004","2017-04-01 11:00:07"
"15","1","30","0","Edmonton","CAN","1971-06-30","AB","48","3","1991","Jamie","72","8458562","McLennan","Jamie McLennan","CAN","G","L","CGY, NYR","199","1","20032004","2017-04-01 11:00:07"
"16",NULL,"1",NULL,"Mannheim","DEU","1980-06-25",NULL,"275","9","2001","Robert","67","8469717","Muller","Robert Muller","DEU","G","L","DEU","163",NULL,"20032004","2017-04-01 11:00:07"
"17","2","52","0","Lac St. Charles","CAN","1977-08-15","QC","16","1","1995","Martin","74","8462047","Biron","Martin Biron","CAN","G","L","BUF","186","2","20032004","2017-04-01 11:00:07"
"18","2","64","0","Belleville","CAN","1980-05-04","ON","135","5","1998","Andrew","73","8467453","Raycroft","Andrew Raycroft","CAN","G","L","BOS","180","2","20032004","2017-04-01 11:00:07"
"19","1","28","0","Tampere","FIN","1977-05-20",NULL,"90","4","1995","Vesa","70","8462117","Toskala","Vesa Toskala","FIN","G","L","SJS","198","1","20032004","2017-04-01 11:00:07"
"20",NULL,"5",NULL,"Montreal","CAN","1972-05-06","QC","20","1","1990","Martin","74","8455710","Brodeur","Martin Brodeur","CAN","G","L","CAN","220",NULL,"20032004","2017-04-01 11:00:07"
"21","0","3","0","Turku","FIN","1980-06-18",NULL,"168","6","1998","Antero","73","8467511","Niittymaki","Antero Niittymaki","FIN","G","L","PHI","195","0","20032004","2017-04-01 11:00:07"
"22","1","4","0","Burnaby","CAN","1980-01-18","BC","66","3","1998","Jason","75","8467391","LaBarbera","Jason LaBarbera","CAN","G","L","NYR","232","1","20032004","2017-04-01 11:00:07"
"23","1","6","0","Beauport","CAN","1981-06-17",NULL,"22","1","1999","Maxime","74","8467895","Ouellet","Maxime Ouellet","CAN","G","L","WSH","194","1","20032004","2017-04-01 11:00:07"
"24","1","73","0","Fribourg","CHE","1978-02-07",NULL,"161","6","1997","David","73","8466290","Aebischer","David Aebischer","CHE","G","L","COL","187","1","20032004","2017-04-01 11:00:07"
"25",NULL,"1",NULL,"Munich","DEU","1979-05-14",NULL,NULL,NULL,NULL,"Oliver","72","8469913","Jonas","Oliver Jonas","DEU","G","L","DEU","175",NULL,"20032004","2017-04-01 11:00:07"
"26","0","8","0","Toronto","CAN","1983-04-25","ON","199","7","2003","Andy","71","8469613","Chiodo","Andy Chiodo","CAN","G","L","PIT","192","0","20032004","2017-04-01 11:00:07"
"27","0","18","0","Sussex","GBR","1971-02-25",NULL,"35","2","1989","Byron","71","8455994","Dafoe","Byron Dafoe","GBR","G","L","ATL","185","0","20032004","2017-04-01 11:00:07"
"28","0","38","0","Anchorage","USA","1976-03-30","AK",NULL,NULL,NULL,"Ty","73","8469152","Conklin","Ty Conklin","USA","G","L","EDM","185","0","20032004","2017-04-01 11:00:07"
