Player1,Player_clean
ALEXANDER OVECHKIN,ALEX OVECHKIN
MIKE CAMMALLERI,MICHAEL CAMMALLERI
MARTIN ST LOUIS,MARTIN ST. LOUIS
RJ UMBERGER,R.J. UMBERGER
NIKOLAI KULEMIN,NIKOLAY KULEMIN
MAXIME TALBOT,MAX TALBOT
DANNY BRIERE,DANIEL BRIERE
TOBIAS ENSTROM,TOBY ENSTROM
CHRISTOPHER HIGGINS,CHRIS HIGGINS
ALEXANDER FROLOV,ALEX FROLOV
MATTHEW CARLE,MATT CARLE
NIKOLAI ZHERDEV,NIKOLAY ZHERDEV
JOSEPH CORVO,JOE CORVO
VACLAV PROSPAL,VINNY PROSPAL
JEAN-PIERRE DUMONT,J-P DUMONT
DANNY CLEARY,DANIEL CLEARY
STEVEN REINPRECHT,STEVE REINPRECHT
MICHAEL GRIER,MIKE GRIER
KRISTOPHER LETANG,KRIS LETANG
MICHAEL RUPP,MIKE RUPP
PIERRE-ALEXANDRE PARENTEAU,PA PARENTEAU
NICKLAS GROSSMAN,NICKLAS GROSSMANN
FREDRIK MODIN,FREDDY MODIN
TJ OSHIE,T.J. OSHIE
ALEX BURROWS,ALEXANDRE BURROWS
CAMERON BARKER,CAM BARKER
DAVID JOHNNY ODUYA,JOHNNY ODUYA
BJ CROMBEEN,B.J. CROMBEEN
MICHAEL MODANO,MIKE MODANO
JAMES VANDERMEER,JIM VANDERMEER
DANIEL GIRARDI,DAN GIRARDI
MICHAEL KOMISAREK,MIKE KOMISAREK
BRANDON CROMBEEN,B.J. CROMBEEN
MICHAEL KNUBLE,MIKE KNUBLE
NIKOLAI ANTROPOV,NIK ANTROPOV
ANDREI KASTSITSYN,ANDREI KOSTITSYN
JEFFREY HAMILTON,JEFF HAMILTON
DAN CLEARY,DANIEL CLEARY
ROBERT BLAKE,ROB BLAKE
NIKLAS KRONVALL,NIKLAS KRONWALL
ROBERT HOLIK,BOBBY HOLIK
KRYSTOFER BARCH,KRYS BARCH
COLIN (JOHN) WHITE,COLIN WHITE
MATTHEW STAJAN,MATT STAJAN
P. J. AXELSSON,P.J. AXELSSON
PER JOHAN AXELSSON,P.J. AXELSSON
EDWARD PURCELL,TEDDY PURCELL
MICHAEL SILLINGER,MIKE SILLINGER
J P DUMONT,J-P DUMONT
NICHOLAS BOYNTON,NICK BOYNTON
MARTY HAVLAT,MARTIN HAVLAT
MICHAEL SANTORELLI,MIKE SANTORELLI
CHRISTOPHER NEIL,CHRIS NEIL
DAN CARCILLO,DANIEL CARCILLO
MICHAEL YORK,MIKE YORK
ZACHERY STORTINI,ZACK STORTINI
RODNEY PELLEY,ROD PELLEY
NICKLAS BERGFORS,NICLAS BERGFORS
MARC POULIOT,MARC-ANTOINE POULIOT
ANDREW GREENE,ANDY GREENE
FREDERICK MEYER IV,FREDDY MEYER
JAMES DOWD,JIM DOWD
MATTHEW BENNING,MATT BENNING
MICHAEL FERLAND,MICHEAL FERLAND
JOSHUA BAILEY,JOSH BAILEY
DENIS JR. GAUTHIER,DENIS GAUTHIER
CHRISTOPHER MINARD,CHRIS MINARD
SIARHEI KASTSITSYN,SERGEI KOSTITSYN
PHILIP VARONE,PHIL VARONE
T.J. GALIARDI,TJ GALIARDI
ANDREW WOZNIEWSKI,ANDY WOZNIEWSKI
CHRISTOPHER BOURQUE,CHRIS BOURQUE
JOSEPH CRABB,JOEY CRABB
KRYSTOFER KOLANOS,KRYS KOLANOS
