date,EloRating,team
9/30/1997,1500,PIT
9/30/1997,1500,MTL
9/30/1997,1500,PHI
9/30/1997,1500,TBL
9/30/1997,1500,TOR
9/30/1997,1500,STL
9/30/1997,1500,COL
9/30/1997,1500,ARI
9/30/1997,1500,CGY
9/30/1997,1500,SJS
9/30/1997,1500,BOS
9/30/1997,1500,CAR
9/30/1997,1500,NYR
9/30/1997,1500,WSH
9/30/1997,1500,EDM
9/30/1997,1500,VAN
9/30/1997,1500,OTT
9/30/1997,1500,NYI
9/30/1997,1500,DAL
9/30/1997,1500,ANA
9/30/1997,1500,BUF
9/30/1997,1500,NJD
9/30/1997,1500,DET
9/30/1997,1500,CHI
9/30/1997,1500,LAK
9/30/1997,1500,FLA
9/30/1997,1500,NSH
9/30/1997,1500,WPG
9/30/1997,1500,CBJ
9/30/1997,1500,MIN
9/30/1997,1500,VGK
10/1/1997,1500,PIT
10/1/1997,1500,LAK
10/1/1997,1500,MTL
10/1/1997,1500,OTT
10/1/1997,1500,PHI
10/1/1997,1500,FLA
10/1/1997,1500,TBL
10/1/1997,1500,CAR
10/1/1997,1500,TOR
10/1/1997,1500,WSH
10/2/1997,1500,STL
10/2/1997,1500,BUF
10/2/1997,1500,COL
10/2/1997,1500,DAL
10/2/1997,1500,ARI
10/2/1997,1500,CHI
10/2/1997,1500,CGY
10/2/1997,1500,DET
10/2/1997,1500,SJS
10/2/1997,1500,EDM
10/2/1997,1500,BOS
10/2/1997,1502,LAK
10/3/1997,1494,CAR
10/3/1997,1498,PIT
10/3/1997,1500,NYR
10/3/1997,1500,NYI
10/3/1997,1506,PHI
10/3/1997,1502,OTT
10/3/1997,1508,WSH
10/3/1997,1506,BUF
10/3/1997,1506,TBL
10/3/1997,1500,NJD
10/4/1997,1494,STL
10/4/1997,1510,ARI
10/4/1997,1494,CGY
10/4/1997,1498,COL
10/4/1997,1506,EDM
10/4/1997,1506,DET
10/4/1997,1500,VAN
10/4/1997,1500,ANA
10/4/1997,1504.011513,BOS
10/4/1997,1498,MTL
10/4/1997,1501.976974,PIT
10/4/1997,1494,FLA
10/4/1997,1496.034538,OTT
10/4/1997,1490.023026,CAR
10/4/1997,1502,NYI
10/4/1997,1492,TOR
10/4/1997,1517.971218,WSH
10/4/1997,1504.034538,NJD
10/5/1997,1502,DAL
10/5/1997,1506.276261,STL
10/5/1997,1494,SJS
10/5/1997,1490,CHI
10/5/1997,1496,ANA
10/5/1997,1504,VAN
10/5/1997,1498,NYR
10/5/1997,1497.988487,LAK
10/5/1997,1511.965462,PHI
10/5/1997,1497.723739,ARI
10/5/1997,1501.965462,TBL
10/5/1997,1496.028782,BUF
10/6/1997,1492,EDM
10/6/1997,1505.953949,COL
10/7/1997,1486.05763,CAR
10/7/1997,1499.98852,LAK
10/7/1997,1498.045869,BUF
10/7/1997,1498.024616,DAL
10/8/1997,1513.79332,COL
10/8/1997,1495.942305,BOS
10/8/1997,1486.046051,CGY
10/8/1997,1484.115121,TOR
10/8/1997,1497.976974,SJS
10/8/1997,1499.999934,OTT
10/8/1997,1495.908099,PIT
10/8/1997,1506.069208,MTL
10/8/1997,1509.884879,NYI
10/8/1997,1525.810787,WSH
10/8/1997,1496.194968,NJD
10/8/1997,1507.883491,PHI
10/8/1997,1520,DET
10/8/1997,1504.024799,DAL
10/9/1997,1501.805709,ARI
10/9/1997,1492.045041,BOS
10/9/1997,1484.160629,EDM
10/9/1997,1495.999967,NYR
10/9/1997,1492.045685,BUF
10/9/1997,1533.627466,WSH
10/9/1997,1499.748935,PHI
